question_id,dataset_source,task_complexity,complexity_score,acc_per_1k_tokens_adaptive,acc_per_1k_tokens_single-agent,acc_per_1k_tokens_static_multi-agent,is_correct_adaptive,is_correct_single-agent,is_correct_static_multi-agent,routing_decision_adaptive,routing_decision_single-agent,routing_decision_static_multi-agent,token_cost_adaptive,token_cost_single-agent,token_cost_static_multi-agent
DDXPLUS_1000085,DDXPlus,Complex,0.3771,1.8149,1.8149,0.2584,1,1,1,solo,solo,group-3,551,551,3870
DDXPLUS_1000337,DDXPlus,Moderate,0.3445,0.0,0.0,0.0,0,0,0,solo,solo,group-3,597,597,3990
DDXPLUS_1002995,DDXPlus,Complex,0.7081,0.0,0.0,0.0,0,0,0,group-3,solo,group-3,4773,696,4773
DDXPLUS_1004344,DDXPlus,Complex,0.6364,0.2259,1.5129,0.2259,1,1,1,group-3,solo,group-3,4426,661,4426
DDXPLUS_1005626,DDXPlus,Complex,0.588,0.4348,1.4409,0.2371,1,1,1,group-2,solo,group-3,2300,694,4218
DDXPLUS_1006075,DDXPlus,Complex,0.519,0.3994,1.7762,0.221,1,1,1,group-2,solo,group-3,2504,563,4524
DDXPLUS_1006100,DDXPlus,Complex,0.4164,0.4613,0.0,0.2488,1,0,1,group-2,solo,group-3,2168,487,4019
DDXPLUS_1007675,DDXPlus,Moderate,0.3445,2.2573,2.2573,0.2646,1,1,1,solo,solo,group-3,443,443,3780
DDXPLUS_1007952,DDXPlus,Complex,0.4367,0.4695,1.9841,0.2523,1,1,1,group-2,solo,group-3,2130,504,3963
DDXPLUS_1008199,DDXPlus,Complex,0.5021,0.4545,1.8587,0.2458,1,1,1,group-2,solo,group-3,2200,538,4068
DDXPLUS_100912,DDXPlus,Complex,0.4196,0.4651,1.7637,0.2504,1,1,1,group-2,solo,group-3,2150,567,3993
DDXPLUS_1009777,DDXPlus,Moderate,0.1348,5.4054,5.4054,0.3296,1,1,1,solo,solo,group-3,185,185,3034
DDXPLUS_1011305,DDXPlus,Complex,0.5112,0.455,2.2026,0.246,1,1,1,group-2,solo,group-3,2198,454,4065
DDXPLUS_1011594,DDXPlus,Complex,0.5072,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2168,462,3990
DDXPLUS_101198,DDXPlus,Complex,0.4053,0.0,1.6026,0.251,0,1,1,group-2,solo,group-3,2144,624,3984
DDXPLUS_1012062,DDXPlus,Complex,0.4766,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2126,443,3957
DDXPLUS_1012066,DDXPlus,Complex,0.4018,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,1896,391,3609
DDXPLUS_1012329,DDXPlus,Complex,0.5072,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2186,463,4047
DDXPLUS_1013541,DDXPlus,Moderate,0.351,1.7212,1.7212,0.0,1,1,0,solo,solo,group-3,581,581,4002
DDXPLUS_1013743,DDXPlus,Moderate,0.3317,1.8622,1.8622,0.0,1,1,0,solo,solo,group-3,537,537,3888
DDXPLUS_1014263,DDXPlus,Moderate,0.2155,2.5445,2.5445,0.0,1,1,0,solo,solo,group-3,393,393,3515
DDXPLUS_1014380,DDXPlus,Complex,0.3934,2.6178,2.6178,0.2627,1,1,1,solo,solo,group-3,382,382,3806
DDXPLUS_1015140,DDXPlus,Complex,0.4745,0.4359,2.079,0.2376,1,1,1,group-2,solo,group-3,2294,481,4208
DDXPLUS_1015345,DDXPlus,Complex,0.4724,0.4371,1.5291,0.2381,1,1,1,group-2,solo,group-3,2288,654,4200
DDXPLUS_1016707,DDXPlus,Complex,0.404,0.4498,2.3474,0.2437,1,1,1,group-2,solo,group-3,2223,426,4104
DDXPLUS_1017609,DDXPlus,Complex,0.5607,0.3928,1.7123,0.218,1,1,1,group-2,solo,group-3,2546,584,4587
DDXPLUS_1020799,DDXPlus,Moderate,0.135,0.0,0.0,0.3114,0,0,1,solo,solo,group-3,215,215,3211
DDXPLUS_1021018,DDXPlus,Moderate,0.3459,1.5949,1.5949,0.2505,1,1,1,solo,solo,group-3,627,627,3992
DDXPLUS_1021331,DDXPlus,Moderate,0.181,4.4843,4.4843,0.3037,1,1,1,solo,solo,group-3,223,223,3293
DDXPLUS_102347,DDXPlus,Complex,0.3879,0.0,0.0,0.2632,0,0,1,solo,solo,group-3,423,423,3800
DDXPLUS_1024433,DDXPlus,Complex,0.3641,2.6178,2.6178,0.2477,1,1,1,solo,solo,group-3,382,382,4037
DDXPLUS_1025221,DDXPlus,Complex,0.6202,0.2143,1.6313,0.2143,1,1,1,group-3,solo,group-3,4667,613,4667
DDXPLUS_103199,DDXPlus,Complex,0.3771,1.5601,1.5601,0.2569,1,1,1,solo,solo,group-3,641,641,3892
DDXPLUS_103851,DDXPlus,Complex,0.694,0.2029,1.224,0.2029,1,1,1,group-3,solo,group-3,4929,817,4929
DDXPLUS_104645,DDXPlus,Complex,0.82,0.0858,1.0823,0.0,1,1,0,MDT,solo,group-3,11658,924,5450
DDXPLUS_104848,DDXPlus,Moderate,0.1348,6.993,6.993,0.3319,1,1,1,solo,solo,group-3,143,143,3013
DDXPLUS_104951,DDXPlus,Complex,0.792,0.1877,0.9225,0.1877,1,1,1,group-3,solo,group-3,5328,1084,5328
DDXPLUS_105211,DDXPlus,Complex,0.5862,0.4277,1.4881,0.2339,1,1,1,group-2,solo,group-3,2338,672,4275
DDXPLUS_105930,DDXPlus,Complex,0.7334,0.2,1.0707,0.2,1,1,1,group-3,solo,group-3,4999,934,4999
DDXPLUS_106584,DDXPlus,Complex,0.3804,0.0,0.0,0.266,0,0,1,solo,solo,group-3,397,397,3759
DDXPLUS_107615,DDXPlus,Complex,0.5306,0.4156,1.9048,0.2284,1,1,1,group-2,solo,group-3,2406,525,4379
DDXPLUS_107920,DDXPlus,Moderate,0.2527,0.0,0.0,0.269,0,0,1,solo,solo,group-3,506,506,3717
DDXPLUS_110242,DDXPlus,Complex,0.67,0.0,1.3387,0.0,0,1,0,group-3,solo,group-3,4728,747,4728
DDXPLUS_110813,DDXPlus,Moderate,0.2117,4.0984,4.0984,0.2988,1,1,1,solo,solo,group-3,244,244,3347
DDXPLUS_110971,DDXPlus,Moderate,0.2288,4.2373,4.2373,0.308,1,1,1,solo,solo,group-3,236,236,3247
DDXPLUS_111219,DDXPlus,Complex,0.4693,0.4468,1.6667,0.2424,1,1,1,group-2,solo,group-3,2238,600,4125
DDXPLUS_111486,DDXPlus,Complex,0.3996,1.773,1.773,0.2539,1,1,1,solo,solo,group-3,564,564,3939
DDXPLUS_113780,DDXPlus,Moderate,0.2117,3.7453,3.7453,0.2956,1,1,1,solo,solo,group-3,267,267,3383
DDXPLUS_114394,DDXPlus,Complex,0.469,0.0,1.8116,0.0,0,1,0,group-2,solo,group-3,2387,552,4350
DDXPLUS_114641,DDXPlus,Moderate,0.2832,2.8818,2.8818,0.2634,1,1,1,solo,solo,group-3,347,347,3797
DDXPLUS_114754,DDXPlus,Moderate,0.3423,2.9674,2.9674,0.2603,1,1,1,solo,solo,group-3,337,337,3842
DDXPLUS_115540,DDXPlus,Complex,0.6851,0.2123,1.4948,0.2123,1,1,1,group-3,solo,group-3,4710,669,4710
DDXPLUS_116470,DDXPlus,Moderate,0.181,4.4053,4.4053,0.3095,1,1,1,solo,solo,group-3,227,227,3231
DDXPLUS_116834,DDXPlus,Complex,0.6617,0.0,1.1561,0.0,0,1,0,group-3,solo,group-3,4602,865,4602
DDXPLUS_117855,DDXPlus,Complex,0.4501,0.4365,1.7483,0.2378,1,1,1,group-2,solo,group-3,2291,572,4206
DDXPLUS_118719,DDXPlus,Moderate,0.1194,6.5359,6.5359,0.3184,1,1,1,solo,solo,group-3,153,153,3141
DDXPLUS_119558,DDXPlus,Complex,0.5308,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2300,658,4217
DDXPLUS_119877,DDXPlus,Moderate,0.1656,0.0,0.0,0.3128,0,0,1,solo,solo,group-3,376,376,3197
DDXPLUS_120521,DDXPlus,Moderate,0.2288,2.9326,2.9326,0.318,1,1,1,solo,solo,group-3,341,341,3145
DDXPLUS_121917,DDXPlus,Moderate,0.3418,0.0,0.0,0.0,0,0,0,solo,solo,group-3,409,409,3704
DDXPLUS_12195,DDXPlus,Complex,0.798,0.1839,1.1074,0.1839,1,1,1,group-3,solo,group-3,5439,903,5439
DDXPLUS_122161,DDXPlus,Complex,0.4017,0.4643,0.0,0.2501,1,0,1,group-2,solo,group-3,2154,396,3999
DDXPLUS_122248,DDXPlus,Complex,0.4327,0.4513,2.0833,0.2444,1,1,1,group-2,solo,group-3,2216,480,4092
DDXPLUS_122264,DDXPlus,Complex,0.5591,0.0,1.8215,0.0,0,1,0,group-2,solo,group-3,2461,549,4461
DDXPLUS_12256,DDXPlus,Complex,0.5803,0.3833,1.2136,0.2135,1,1,1,group-2,solo,group-3,2609,824,4683
DDXPLUS_123839,DDXPlus,Complex,0.59,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2491,885,4434
DDXPLUS_125239,DDXPlus,Moderate,0.1504,4.4248,4.4248,0.3121,1,1,1,solo,solo,group-3,226,226,3204
DDXPLUS_125259,DDXPlus,Moderate,0.3312,2.8571,2.8571,0.0,1,1,0,solo,solo,group-3,350,350,3648
DDXPLUS_125901,DDXPlus,Complex,0.4616,0.4167,1.5873,0.2289,1,1,1,group-2,solo,group-3,2400,630,4369
DDXPLUS_12658,DDXPlus,Complex,0.5441,0.4174,1.9417,0.0,1,1,0,group-2,solo,group-3,2396,515,4362
DDXPLUS_127001,DDXPlus,Complex,0.4876,0.4664,2.2573,0.251,1,1,1,group-2,solo,group-3,2144,443,3984
DDXPLUS_127130,DDXPlus,Complex,0.4671,0.4525,0.0,0.2449,1,0,1,group-2,solo,group-3,2210,571,4083
DDXPLUS_127698,DDXPlus,Complex,0.3691,2.2321,2.2321,0.0,1,1,0,solo,solo,group-3,448,448,3833
DDXPLUS_128478,DDXPlus,Moderate,0.3014,3.2258,3.2258,0.2673,1,1,1,solo,solo,group-3,310,310,3741
DDXPLUS_12941,DDXPlus,Complex,0.656,0.0,0.0,0.0,0,0,0,group-3,solo,group-3,4863,697,4863
DDXPLUS_13027,DDXPlus,Moderate,0.3035,1.8083,1.8083,0.2827,1,1,1,solo,solo,group-3,553,553,3537
DDXPLUS_130347,DDXPlus,Complex,0.5893,0.3814,1.1136,0.2128,1,1,1,group-2,solo,group-3,2622,898,4700
DDXPLUS_131078,DDXPlus,Moderate,0.3494,2.9155,2.9155,0.2923,1,1,1,solo,solo,group-3,343,343,3421
DDXPLUS_131511,DDXPlus,Complex,0.6691,0.2225,1.385,0.2225,1,1,1,group-3,solo,group-3,4494,722,4494
DDXPLUS_13154,DDXPlus,Complex,0.3619,2.4272,2.4272,0.2622,1,1,1,solo,solo,group-3,412,412,3814
DDXPLUS_131736,DDXPlus,Complex,0.5421,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2300,593,4140
DDXPLUS_132067,DDXPlus,Complex,0.4765,0.4771,2.1186,0.2556,1,1,1,group-2,solo,group-3,2096,472,3912
DDXPLUS_132232,DDXPlus,Complex,0.5556,0.4039,1.7036,0.2231,1,1,1,group-2,solo,group-3,2476,587,4482
DDXPLUS_132597,DDXPlus,Moderate,0.3496,1.8116,1.8116,0.2627,1,1,1,solo,solo,group-3,552,552,3806
DDXPLUS_133233,DDXPlus,Complex,0.4059,0.0,0.0,0.0,0,0,0,group-2,solo,group-3,2172,522,4026
DDXPLUS_133794,DDXPlus,Complex,0.6753,0.2141,1.1312,0.2141,1,1,1,group-3,solo,group-3,4671,884,4671
DDXPLUS_134043,DDXPlus,Complex,0.5574,0.0,0.0,0.2467,0,0,1,group-2,solo,group-3,2194,503,4054
DDXPLUS_134334,DDXPlus,Moderate,0.183,2.7397,2.7397,0.2874,1,1,1,solo,solo,group-3,365,365,3480
DDXPLUS_134414,DDXPlus,Complex,0.5063,0.0,1.4286,0.2376,0,1,1,group-2,solo,group-3,2294,700,4209
DDXPLUS_136953,DDXPlus,Moderate,0.187,3.7313,3.7313,0.28,1,1,1,solo,solo,group-3,268,268,3572
DDXPLUS_137867,DDXPlus,Complex,0.71,0.0,1.0341,0.0,0,1,0,group-3,solo,group-3,5107,967,5107
DDXPLUS_138333,DDXPlus,Moderate,0.3465,0.0,0.0,0.0,0,0,0,solo,solo,group-3,418,418,3957
DDXPLUS_138377,DDXPlus,Complex,0.5766,0.401,1.3605,0.2218,1,1,1,group-2,solo,group-3,2494,735,4509
DDXPLUS_140396,DDXPlus,Complex,0.3705,2.004,2.004,0.2562,1,1,1,solo,solo,group-3,499,499,3903
DDXPLUS_140608,DDXPlus,Complex,0.806,0.0903,1.1062,0.1936,1,1,1,MDT,solo,group-3,11078,904,5166
DDXPLUS_140634,DDXPlus,Moderate,0.179,0.0,0.0,0.3089,0,0,1,solo,solo,group-3,222,222,3237
DDXPLUS_142404,DDXPlus,Complex,0.534,0.4583,0.0,0.2499,1,0,1,group-2,solo,group-3,2182,508,4001
DDXPLUS_142687,DDXPlus,Moderate,0.1368,4.9505,4.9505,0.31,1,1,1,solo,solo,group-3,202,202,3226
DDXPLUS_143566,DDXPlus,Complex,0.446,0.45,2.2727,0.2438,1,1,1,group-2,solo,group-3,2222,440,4101
